Procedimento;RN;Vigencia;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
TRANSPLANTE ÓSSEO VASCULARIZADO (MICROANASTOMOSE);;;X;X;SIM;SIM;SIM;X;;AUTOTRANSPLANTES OSTEOMIOCUTÂNEOS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTES CUTÂNEOS AUTÓLOGOS COM OU SEM MICROANASTOMOSES VASCULARES);;;X;X;SIM;SIM;SIM;X;;AUTOTRANSPLANTES OSTEOMIOCUTÂNEOS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTES MUSCULARES AUTÓLOGOS (COM MICROANASTOMOSES VASCULARES);;;X;X;SIM;SIM;SIM;X;;AUTOTRANSPLANTES OSTEOMIOCUTÂNEOS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTES MÚSCULO-CUTÂNEOS AUTÓLOGOS (COM OU SEM MICROANASTOMOSES VASCULARES);;;X;X;SIM;SIM;SIM;X;;AUTOTRANSPLANTES OSTEOMIOCUTÂNEOS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTES ÓSSEOS AUTÓLOGOS VASCULARIZADOS E TRANSPLANTES OSTEOMUSCULOCUTÂNEOS VASCULARIZADOS (COM MICROANASTOMOSES VASCULARES);;;X;X;SIM;SIM;SIM;X;;AUTOTRANSPLANTES OSTEOMIOCUTÂNEOS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE DE SEGMENTOS DISTAIS DO MEMBRO SUPERIOR OU INFERIOR, COM RESSECÇÃO SEGMENTAR;;;X;X;SIM;SIM;SIM;X;;TRANSPLANTES, REIMPLANTES E REVASCULARIZAÇÕES DOS MEMBROS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE DOS MEMBROS SUPERIORES OU INFERIORES OU PARTES;;;X;X;SIM;SIM;SIM;X;;TRANSPLANTES, REIMPLANTES E REVASCULARIZAÇÕES DOS MEMBROS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE ARTICULAR DE METATARSOFALÂNGICA PARA A MÃO;;;X;X;SIM;SIM;SIM;X;;TRANSPLANTES, REIMPLANTES E REVASCULARIZAÇÕES DOS MEMBROS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE DE DEDOS DO PÉ PARA A MÃO;;;X;X;SIM;SIM;SIM;X;;TRANSPLANTES, REIMPLANTES E REVASCULARIZAÇÕES DOS MEMBROS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROCENTESE OU PUNÇÃO DIAGNÓSTICA OU TERAPÊUTICA DE ESTRUTURAS OU CAVIDADES EXTRA- ARTICULARES COM APLICAÇÃO DE SUBSTÂNCIAS TERAPÊUTICAS;;;X;SIM;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA CIRÚRGICA PARA CONDROPLASTIA POR ABRASÃO, PERFURAÇÕES MÚLTIPLAS, REDUÇÃO DE FRATURAS, RESSECÇÃO OU DESBRIDAMENTOS DE FRAGMENTOS TENDÍNEOS, OSTEOCONDROMATOSE, RESSECÇÃO DE BURSAS E CALCIFICAÇÕES TENDÍNEAS, FIXAÇÃO DE FRATURAS E FRAGMENTOS OSTEOCONDRAIS, DESCOMPRESSÃO DO CANAL CARPIANO, SINOVECTOMIA, ENCURTAMENTO DO CUBITAL E;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA CIRÚRGICA PARA DESCOMPRESSÃO DO CANAL CARPIANO, ENCURTAMENTO DO CUBITAL E ATRODESE EM GERAL;;;SIM;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA CIRÚRGICA PARA MENISCECTOMIA, SUTURA MENISCAL, REMODELAÇÃO DE MENISCO DISCÓIDE, REPARAÇÃO, REFORÇO OU RECONSTRUÇÃO DOS LIGAMENTOS CRUZADOS OU REALINHAMENTO PATELO-FEMORAL;;;SIM;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA P/ DIAGNÓSTICO COM OU SEM BIÓPSIA SINOVIAL;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA PARA DESCOMPRESSÃO SUBACROMIAL COM ROTURA DO MANGUITO ROTADOR, RESSECÇÃO DA EXTREMIDADE LATERAL DA CLAVÍCULA, ARTRODESE DO OMBRO, FIXAÇÃO MENISCA;;;SIM;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA PARA SINOVECTOMIAS E RESSECÇÃO DE MENISCOS;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA PARA RECONSTRUÇÃO, RETENCIONAMENTO OU REFORÇO DE LIGAMENTO;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA PARA TRATAMENTO DE INFECÇÃO, REMOÇÃO DE CORPOS ESTRANHOS OU FRAGMENTOS LIVRES, SINOVECTOMIA PARCIAL (PLICAS), ADERÊNCIAS, MANIPULAÇÕES, DESBRIDAMENTOS;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROSCOPIA PARA TRATAMENTO DE LUXAÇÃO RECIDIVANTE;;;X;X;SIM;SIM;SIM;X;;ARTROSCOPIA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO DE HALO CRANIANO;;;X;X;SIM;SIM;SIM;X;;TRAÇÃO;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRAÇÃO CUTÂNEA E OU TRANSESQUELETICA - QUALQUER LOCALIZAÇÃO;;;X;X;SIM;SIM;SIM;X;;TRAÇÃO;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE PRÓTESES DE SUBSTITUIÇÃO DE PEQUENAS ARTICULAÇÕES;;;X;X;SIM;SIM;SIM;X;;RETIRADA DE MATERIAL DE SÍNTESE;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE MATERIAL DE SÍNTESE (QUALQUER MATERIAL);;;X;SIM;SIM;SIM;SIM;X;;RETIRADA DE MATERIAL DE SÍNTESE;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
APARELHOS GESSADOS (QUALQUER TIPO E LOCALIZAÇÃO);;;X;SIM;SIM;SIM;SIM;X;;IMOBILIZAÇÕES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMOBILIZAÇÕES NÃO-GESSADAS (QUALQUER LOCALIZAÇÃO);;;X;SIM;SIM;SIM;SIM;X;;IMOBILIZAÇÕES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO/DESARTICULAÇÃO DE MEMBRO OU SEGMENTO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;SIM;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA COM OU SEM IMPLANTE;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AUTOENXERTO ÓSSEO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ÓSSEA COM OU SEM AGULHA - QUALQUER LOCALIZAÇÃO;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIAS PERCUTÂNEA SINOVIAL OU DE TECIDOS MOLES;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO INTRA-ARTICULAR - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO INTRA-ÓSSEO, SUBCUTÂNEO - TRATAMENTO CIRÚRGICO;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADE ADQUIRIDA E OU CONGÊNITA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURETAGEM OU RESSECÇÃO EM BLOCO DE TUMOR COM RECONSTRUÇÃO E ENXERTO VASCULARIZADO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTOS EM PSEUDARTROSES;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MANIPULAÇÃO ARTICULAR COM OU SEM ANESTESIA GERAL;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PREPARAÇÃO E REVISÃO DE COTO DE AMPUTAÇÃO;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO OU INFILTRAÇÃO ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA, ORIENTADA OU NÃO POR MÉTODO DE IMAGEM;;;SIM;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA/ ARTROCENTESE (INFILTRAÇÃO/AGULHAMENTO SECO) ORIENTADO OU NÃO POR MÉTODO DE IMAGEM;;;SIM;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REDUÇÃO INCRUENTA DE FRATURA;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REDUÇÃO INCRUENTA DE LUXAÇÃO E/OU AVULSÕES;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE LESÃO COM CIMENTAÇÃO E OSTEOSÍNTESE;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE ENXERTO ÓSSEO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE ARTROPLASTIA (QUALQUER SEGMENTO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO - ENCURTAMENTO COM OU SEM OSTEOSSINTESE;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRURGICO ALONGAMENTO COM OU SEM FIXADOR EXTERNO (DINAMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA DESARTICULAÇÃO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA PSEUDOARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE FRATURA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE LESÕES LIGAMENTARES (AGUDAS OU CRÔNICAS);;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE LUXAÇÃO E/OU AVULSÕES;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;;;X;SIM;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR ÓSSEO - TRATAMENTO CIRURGICO;;;X;X;SIM;SIM;SIM;X;;;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DA COLUNA C/ INSTRUMENTAÇÃO;;;SIM;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE COLUNA VIA ANTERIOR OU PÓSTERO LATERAL - TRATAMENTO CIRÚRGICO;;;SIM;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DISCAL DE COLUNA VERTEBRAL (COM DIRETRIZ DE UTILIZAÇÃO);;;X;X;SIM;SIM;SIM;X;133;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DA COLUNA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE CORPO VERTEBRAL COM AGULHA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA ENDOSCÓPICA DA COLUNA VERTEBRAL - HÉRNIA DE DISCO LOMBAR;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORDOTOMIA - MIELOTOMIA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DERIVAÇÃO LOMBAR EXTERNA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOMPRESSÃO MEDULAR E/OU CAUDA EQUINA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DO CÓCCIX - REDUÇÃO INCRUENTA;;;X;SIM;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DO CÓCCIX - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE COLUNA VERTEBRAL - REDUÇÃO INCRUENTA;;;X;SIM;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS OU FRATURA-LUXAÇÃO DE COLUNA - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMIVÉRTEBRA - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HÉRNIA DE DISCO - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LAMINECTOMIA OU LAMINOTOMIA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA PARA TUMORES EXTRA OU INTRADURAIS;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIA DE COLUNA VERTEBRAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PSEUDARTROSE DE COLUNA - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REDUÇÃO INCRUENTA DE OUTRAS AFECÇÕES DA COLUNA;;;X;SIM;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE MATERIAL DE SÍNTESE - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUBSTITUIÇÃO DE CORPO VERTEBRAL;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRAÇÃO CERVICAL TRANSESQUELÉTICA;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA CIFOSE INFANTIL;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA COSTELA CERVICAL;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA LESÃO TRAUMÁTICA RAQUIMEDULAR;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DAS MALFORMAÇÕES CRANIOVERTEBRAIS;;;X;X;SIM;SIM;SIM;X;;COLUNA VERTEBRAL;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
